timestamp,aircraft_id,latitude,longitude,altitude,speed,heading
2026-09-23 10:00:00,A123,12.946430092211937,77.61603692001421,32069,483,315
2026-09-23 10:00:10,A123,12.959651195082529,77.62308941845008,32038,481,315
2026-09-23 10:00:20,A123,12.965773770307269,77.63309546729359,32048,485,315
2026-09-23 10:00:30,A123,12.975027275289712,77.64166818697258,32117,480,315
2026-09-23 10:00:40,A123,12.987709252643901,77.65305696568998,32135,480,315
2026-09-23 10:00:50,A123,12.995681567966436,77.65838321460552,32095,475,315
2026-09-23 10:01:00,A123,13.008815340450353,77.66885868099318,32034,480,315
2026-09-23 10:01:10,A123,13.022416747098951,77.68267744183683,32023,481,315
2026-09-23 10:01:20,A123,13.03322174343877,77.68963819344508,31935,478,315
2026-09-23 10:01:30,A123,13.041349078377163,77.70137531095607,32006,477,315
2026-09-23 10:01:40,A123,13.056115909029245,77.71424194303947,32053,479,315
2026-09-23 10:01:50,A123,13.06201550405017,77.72056258702733,32092,475,315
2026-09-23 10:02:00,A123,13.067776480886456,77.7302676419422,32076,476,315
2026-09-23 10:02:10,A123,13.075984151250335,77.73940552936179,32050,477,315
2026-09-23 10:02:20,A123,13.080986862284837,77.75335052985136,32037,479,315
2026-09-23 10:02:30,A123,13.088109160485434,77.76797271321834,31992,482,315
2026-09-23 10:02:40,A123,13.098784754085935,77.77561571908393,31973,484,315
2026-09-23 10:02:50,A123,13.107232891987998,77.78740400731841,31892,479,315
2026-09-23 10:03:00,A123,13.11971698438867,77.80228966241167,31859,481,315
2026-09-23 10:03:10,A123,13.134402853285359,77.81104298431377,31834,481,315
2026-09-23 10:03:20,A123,13.145200609404164,77.82570341880361,31743,478,315
2026-09-23 10:03:30,A123,13.159330486190168,77.83746136167406,31693,477,315
2026-09-23 10:03:40,A123,13.172489128844337,77.84281399511545,31646,472,315
2026-09-23 10:03:50,A123,13.179467703143407,77.85151813760031,31583,472,315
2026-09-23 10:04:00,A123,13.189813054267791,77.86508785388901,31530,475,315
2026-09-23 10:04:10,A123,13.197389554810982,77.87933471114236,31443,473,315
2026-09-23 10:04:20,A123,13.212299176982363,77.88596296900921,31474,468,315
2026-09-23 10:04:30,A123,13.221783737633844,77.89782193268759,31433,464,315
2026-09-23 10:04:40,A123,13.234586013944595,77.90731012032616,31430,466,315
2026-09-23 10:04:50,A123,13.24248586119782,77.9212797103679,31475,461,315
2026-09-23 10:05:00,A123,13.253818494353824,77.93386005976724,31554,456,315
2026-09-23 10:05:10,A123,13.259370039881453,77.94373864079401,31467,455,315
2026-09-23 10:05:20,A123,13.26777004874561,77.957964157786,31468,460,315
2026-09-23 10:05:30,A123,13.27966740106467,77.96301635628511,31499,463,315
2026-09-23 10:05:40,A123,13.291556385148711,77.97388785845845,31459,460,315
2026-09-23 10:05:50,A123,13.300043401388056,77.98089619362213,31424,465,315
2026-09-23 10:06:00,A123,13.313743943243075,77.995028193302,31521,466,315
2026-09-23 10:06:10,A123,13.320232053786464,78.00909254742068,31524,465,315
2026-09-23 10:06:20,A123,13.33094585795271,78.02374105249264,31581,465,315
2026-09-23 10:06:30,A123,13.342592700958226,78.0304669421147,31568,470,315
2026-09-23 10:06:40,A123,13.352415680986836,78.03576758555168,31540,475,315
2026-09-23 10:06:50,A123,13.36252826075009,78.04315193257577,31603,477,315
2026-09-23 10:07:00,A123,13.370298151933982,78.05092790117764,31584,482,315
2026-09-23 10:07:10,A123,13.37847913453243,78.0617930254335,31581,478,315
2026-09-23 10:07:20,A123,13.393333758307838,78.07162134273773,31560,479,315
2026-09-23 10:07:30,A123,13.39842414489679,78.07926559865993,31499,482,315
2026-09-23 10:07:40,A123,13.412280024294672,78.09104475910446,31478,480,315
2026-09-23 10:07:50,A123,13.424577815525609,78.10009354366201,31574,479,315
2026-09-23 10:08:00,A123,13.438511173516948,78.10551006122681,31479,482,315
2026-09-23 10:08:10,A123,13.447996249701719,78.11662455959343,31451,479,315
2026-09-23 10:08:20,A123,13.4599872164833,78.13121164332452,31541,475,315
2026-09-23 10:08:30,A123,13.465966944749715,78.14520206049392,31571,480,315
2026-09-23 10:08:40,A123,13.47920754871002,78.15142161993701,31597,475,315
2026-09-23 10:08:50,A123,13.490049666600347,78.16092706884332,31553,475,315
2026-09-23 10:09:00,A123,13.495865709813627,78.17221868797263,31643,470,315
2026-09-23 10:09:10,A123,13.510611604744348,78.18486148587084,31608,473,315
2026-09-23 10:09:20,A123,13.523738997997995,78.19688051795104,31564,471,315
2026-09-23 10:09:30,A123,13.530911605622737,78.21142977740845,31645,466,315
