timestamp,aircraft_id,latitude,longitude,altitude,speed,heading,latitude_change,longitude_change,altitude_change,speed_change,position_change,speed_anomaly,altitude_anomaly,position_anomaly,altitude_change_anomaly,evidence_count,risk_score,risk_level,explanation
2026-09-23 10:00:00,A123,12.946430092211935,77.61603692001421,32069,483,315,,,,,0.0,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:00:10,A123,12.959651195082529,77.62308941845008,32038,481,315,0.013221102870593526,0.007052498435868415,-31.0,-2.0,0.014984501836989537,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:00:20,A123,12.965773770307267,77.63309546729359,32048,485,315,0.006122575224738469,0.010006048843507642,10.0,4.0,0.011730598486063785,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:00:30,A123,12.975027275289712,77.64166818697258,32117,480,315,0.009253504982444483,0.008572719678994645,69.0,-5.0,0.012614233117980139,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:00:40,A123,12.9877092526439,77.65305696568998,32135,480,315,0.012681977354187524,0.011388778717403625,18.0,0.0,0.017045140958235307,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:00:50,A123,12.995681567966436,77.65838321460552,32095,475,315,0.007972315322536616,0.005326248915537235,-40.0,-5.0,0.009587843298271706,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:01:00,A123,13.008815340450353,77.66885868099318,32034,480,315,0.013133772483916673,0.010475466387660504,-61.0,5.0,0.016799743322393104,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:01:10,A123,13.022416747098951,77.68267744183683,32023,481,315,0.013601406648598768,0.013818760843648192,-11.0,1.0,0.01938959551085301,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:01:20,A123,13.03322174343877,77.68963819344508,31935,478,315,0.010804996339818018,0.006960751608247051,-88.0,-3.0,0.012853015554926971,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:01:30,A123,13.041349078377165,77.70137531095607,32006,477,315,0.008127334938395236,0.011737117510989492,71.0,-1.0,0.014276326581709879,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:01:40,A123,13.056115909029243,77.71424194303947,32053,479,315,0.01476683065207851,0.012866632083401441,47.0,2.0,0.019585951819525667,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:01:50,A123,13.06201550405017,77.72056258702733,32092,475,315,0.005899595020926185,0.006320643987862695,39.0,-4.0,0.008646141441836461,False,False,False,False,0,0,NORMAL,Normal flight behavior
2026-09-23 10:02:00,A123,13.067776480886456,77.7302676419422,32076,476,315,0.005760976836286957,0.009705054914874722,-16.0,1.0,0.011286139508661449,False,False,False,False,0,0,NORMAL,Normal flight behavior
